hotel_id,hotel_name,hotel_URL,img_URL,street_address,city
100586,W Seattle,http://www.tripadvisor.com/ShowUserReviews-g60878-d100586-Reviews-W_Seattle-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/ad/b4/adb4c79e8a79914eb23adc8cd869516a6large.jpg,1112 4th Ave.,Seattle
100587,Hotel Max,http://www.tripadvisor.com/ShowUserReviews-g60878-d100587-Reviews-Hotel_Max-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/photo-s/02/35/e6/77/hotel-max.jpg,620 Stewart Street,Seattle
100589,Roosevelt Hotel,http://www.tripadvisor.com/ShowUserReviews-g60878-d100589-Reviews-Roosevelt_Hotel-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/70/0b/700b0a06ba75a2bf70ef9ccd83a8d22f7large.jpg,1531 Seventh Avenue,Seattle
100597,Doubletree by Hilton Seattle Airport,http://www.tripadvisor.com/ShowUserReviews-g60878-d100597-Reviews-Doubletree_by_Hilton_Seattle_Airport-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/b5/6e/b56e06cc38605eda046b336e7e499c857large.jpg,18740 International Boulevard,Seattle
100600,Econo Lodge SeaTac Airport,http://www.tripadvisor.com/ShowUserReviews-g60878-d100600-Reviews-Econo_Lodge_SeaTac_Airport-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/0a/6c/0a6c14fb03cd40223e01716debc1979e2large.jpg,13910 International Blvd.,Seattle
100602,Embassy Suites Seattle - Tacoma International Airport,http://www.tripadvisor.com/ShowUserReviews-g60878-d100602-Reviews-Embassy_Suites_Seattle_Tacoma_International_Airport-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/25/46/2546b46c90494e3007c7d894c36015265large.jpg,15920 West Valley Hwy.,Seattle
100603,Hampton Inn Seattle Airport,http://www.tripadvisor.com/ShowUserReviews-g60878-d100603-Reviews-Hampton_Inn_Seattle_Airport-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/ff/33/ff33483b14b0c8cedaec69e56a3e675f6large.jpg,19445 International Blvd.,Seattle
100605,null,http://www.tripadvisor.com/ShowUserReviews-g60878-d100605-r22552001-Red_Lion_Hotel_Seattle_South_at_Boeing_Field-Seattle_Washington.html,null,null,null
1006063,null,http://www.tripadvisor.com/ShowUserReviews-g147293-d1006063-r18815464-Colony_Bay_Resort-Punta_Cana_Dominican_Republic.html,null,null,null
100610,Marriott Seattle Sea-Tac Airport,http://www.tripadvisor.com/ShowUserReviews-g60878-d100610-Reviews-Marriott_Seattle_Sea_Tac_Airport-Seattle_Washington.html,http://media-cdn.tripadvisor.com/media/ProviderThumbnails/dirs/0d/d1/0dd1ae3427d1bb2f4d6415db852f3a415large.jpg,3201 S 176th Street,Seattle
